Station ID,Mean MLS,Mean BLS,STD MLS,STD BLS,Lon,Lat,Depth [m], Dates           ,Winter IG [mm],Summer IG [mm],Winter Power 120 s,Summer Power 120 s,Winter Power 250 s,Summer Power 250 s,Winter Power 800 s,Summer Power 800 s,DART Station ID
46402,1.7428136783842200,-4.117613462079270,0.19179684049358400,0.29668277279433300,-163.948,50.978,4772,2010/01/01-2016/12/31,10.083,6.768,-44.5308494567871,-49.5182037353516,-41.5147361755371,-46.7800140380859,-40.8934669494629,-41.5163192749023,46402
46408,1.738384266115630,-4.107982258517560,0.14836703403518400,0.3263742580814540,-169.900,49.662,5415,2010/01/01-2016/12/31,10.078,7.331,-45.4331283569336,-50.0546722412109,-41.4415855407715,-46.6054763793945,-40.9104347229004,-41.4822082519531,46408
46410,1.449581535633110,-3.778191125303730,0.20936243591975000,0.4434272259152610,-143.750,57.632,3755,2009/01/01-2013/06/30,14.627,7.582,-40.9217338562012,-47.4089813232422,-39.4853324890137,-45.8232154846191,-40.4677391052246,-41.738525390625,46410
46415,1.8892993948244100,-4.345902300560140,0.21616351416006200,0.35737993259888600,-139.880,53.037,3607,2019/01/01-2021/12/31,14.152,7.138,-41.0370254516602,-48.7056655883789,-39.0826644897461,-46.7638244628906,-39.9627342224121,-41.7388000488281,46415
46414,1.7807286821225500,-4.256447416946560,0.19546540982739500,0.3096818051734000,-152.416,53.764,4736,2019/01/01-2021/12/31,10.752,6.509,-44.3057441711426,-50.7706985473633,-41.0221519470215,-47.7568969726563,-40.5784034729004,-42.2969741821289,46414
46409,1.7034389226972600,-4.11340124833308,0.21112780537726600,0.3851394392222770,-148.550,55.310,4224,2006/01/01-2020/12/31,12.327,6.769,-42.6706008911133,-48.9586181640625,-40.0237197875977,-46.6105918884277,-40.5790901184082,-41.8068504333496,46409
46403,1.701358661869310,-4.115393264097660,0.127176481125431,0.30650974169153600,-156.778,52.663,4522,2010/01/01-2017/12/31,10.636,6.702,-43.5219268798828,-49.325813293457,-41.2418479919434,-46.6702842712402,-40.9366035461426,-41.745735168457,46403
46407,1.904607101639320,-4.253696988546860,0.22293376626594800,0.39519715094230500,-128.835,42.705,3300,2010/01/01-2022/04/30,19.395,7.867,-38.1678848266602,-46.7797050476074,-37.5112419128418,-45.7817878723145,-39.0371017456055,-41.0157737731934,46407
46419,1.6586522688329500,-3.8984591495732700,0.20730041595631700,0.42463778168092700,-129.622,48.805,2795,2007/01/01-2021/12/31,17.979,8.336,-38.5462951660156,-46.8642578125,-37.8531227111816,-45.6749877929688,-39.0146522521973,-40.4861946105957,46419
46404,1.7644359993858900,-3.9899237752747200,0.23965929237202900,0.4296171529583170,-128.775,45.848,3738,2006/01/01-2022/04/30,21.853,8.624,-36.6847152709961,-45.8772811889648,-35.6933746337891,-44.7375183105469,-37.9778480529785,-40.2835655212402,46404
